listing,price_in_usd,vendor,origin,destination,drug detail,synthetic_c,type of product,description,num_feedback,average_ rating
Dank vape available along side the oil. with fast and secured delivery to all location. please download wickr app and massage us after placing your order or before placing your order. Please if you want just 1 or 2 pens massage me on wickr

wickr............ American79

Price:  $  0.0    ( 0.0 Bitcoins ) ",0,0

"20 Dank Vapes Cart (Grape Stomper,Gorilla Glue)",0,PrescriptionPills ,US,worldwide,cannabis,,cartridge,"PLEASE DOWNLOAD WICKR APP AND MASSAGE ME BEFORE PLACING AN ORDER (WICKR........ American79)

Dank vape available along side the oil. with fast and secured delivery to all location. please download wickr app and massage us after placing your order or before placing your order. Please if you want just 1 or 2 pens massage me on wickr

wickr............ American79

Price:  $  0.0    ( 0.0 Bitcoins ) ",0,0

"20 Dank Vapes Cart (Grape Stomper,Gorilla Glue)",0,PrescriptionPills ,US,worldwide,cannabis,,cartridge,"PLEASE DOWNLOAD WICKR APP AND MASSAGE ME BEFORE PLACING AN ORDER (WICKR........ American79)

Dank vape available along side the oil. with fast and secured delivery to all location. please download wickr app and massage us after placing your order or before placing your order. Please if you want just 1 or 2 pens massage me on wickr

wickr............ American79

Price:  $  0.0    ( 0.0 Bitcoins ) ",0,0

"20 Dank Vapes Cart (Grape Stomper,Gorilla Glue)",0,PrescriptionPills ,US,worldwide,cannabis,,cartridge,"PLEASE DOWNLOAD WICKR APP AND MASSAGE ME BEFORE PLACING AN ORDER (WICKR........ American79)

Dank vape available along side the oil. with fast and secured delivery to all location. please download wickr app and massage us after placing your order or before placing your order. Please if you want just 1 or 2 pens massage me on wickr

wickr............ American79

Price:  $  0.0    ( 0.0 Bitcoins ) ",0,0

"20 Dank Vapes Cart (Grape Stomper,Gorilla Glue)",0,PrescriptionPills ,US,worldwide,cannabis,,cartridge,"PLEASE DOWNLOAD WICKR APP AND MASSAGE ME BEFORE PLACING AN ORDER (WICKR........ American79)

Dank vape available along side the oil. with fast and secured delivery to all location. please download wickr app and massage us after placing your order or before placing your order. Please if you want just 1 or 2 pens massage me on wickr

wickr............ American79

Price:  $  0.0    ( 0.0 Bitcoins ) ",0,0

"20 Dank Vapes Cart (Grape Stomper,Gorilla Glue)",0,PrescriptionPills ,US,worldwide,cannabis,,cartridge,"PLEASE DOWNLOAD WICKR APP AND MASSAGE ME BEFORE PLACING AN ORDER (WICKR........ American79)

Dank vape available along side the oil. with fast and secured delivery to all location. please download wickr app and massage us after placing your order or before placing your order. Please if you want just 1 or 2 pens massage me on wickr

wickr............ American79

Price:  $  0.0    ( 0.0 Bitcoins ) ",0,0

"20 Dank Vapes Cart (Grape Stomper,Gorilla Glue)",0,PrescriptionPills ,US,worldwide,cannabis,,cartridge,"PLEASE DOWNLOAD WICKR APP AND MASSAGE ME BEFORE PLACING AN ORDER (WICKR........ American79)

Dank vape available along side the oil. with fast and secured delivery to all location. please download wickr app and massage us after placing your order or before placing your order. Please if you want just 1 or 2 pens massage me on wickr

wickr............ American79

Price:  $  0.0    ( 0.0 Bitcoins ) ",0,0

24K GOLD 0.4g SAMPLE - FREE,0.01,kandykones ,UK,UK,synthetic cannabis,yes,other,"Also known as Kosher Tangie, 24k Gold is a 60% indica-dominant hybrid that combines the legendary LA strain Kosher Kush with champion sativa Tangie to create something quite unique. Growing tall in its vegetative cycle and very stretchy in flower, this one will need an experienced hand when grown indoors. Most phenotypes will exhibit a sweet orange aroma from the Tangie along with the dark coloration of the Kosher Kush, and will offer a strong citrus flavor when smoked or vaped. THC levels range from 18% to 24%; definitely not for novice users!

Please read our terms and conditions before ordering.",1,0.2

Wholesale Cartridges on deck (All brands).,0.3,jconn7 ,US,worldwide,cannabis,,cartridge,"BRANDS AVAILABLE

Dank Vapes
Kingpen
Brass Knuckles
Exotic
Cereal Carts
Mario Karts
ROVE
Cookies

.For more details hit up our info's below!!

WICKR ID : morgan247

PLEASE PROVIDE ME YOUR ADDRESS THIS WAY:

FIRST AND LAST NAME

ADDRESS + STREET

POSTAL ZIP CODE + CITY

COUNTRY (DON'T FORGET THIS)

*DOWNLOAD THE APP WICKR AND ADD US ASAP FOR FAST CONVERSATION.",0,0

Wholesale Cartridges on deck (All brands).,0.3,jconn7 ,US,worldwide,cannabis,,cartridge,"BRANDS AVAILABLE

Dank Vapes
Kingpen
Brass Knuckles
Exotic
Cereal Carts
Mario Karts
ROVE
Cookies




.For more details hit up our info's below!!

WICKR ID : morgan247

PLEASE PROVIDE ME YOUR ADDRESS THIS WAY:

FIRST AND LAST NAME

ADDRESS + STREET

POSTAL ZIP CODE + CITY

COUNTRY (DON'T FORGET THIS)

*DOWNLOAD THE APP WICKR AND ADD US ASAP FOR FAST CONVERSATION.
",0,0

Supreme Carts,0.76,Cleo710 ,US,worldwide,cannabis,,cartridge,"Hello, are you in search of top quality medical marijuana, tinctures, edibles,Carts, cannabis oil, weed seeds, hash oil, cbd oil and legal weeds?? why not try this out??We are a group of dedicated growers specialized at cultivating and selling just the best marijuana cannabis containing the CBN,CBD and THC ingredients. we are sellers in America, Europe and the World,and sell out our very affordable wide collection of strains not only to regular smokers, but some of our strains are also used as medicine for the treatment of cancer,stress, chronic pain, restore appetite,anxiety, etc. We ship worldwide and offer door to door delivery services. some of our strains in stock include; white widow,OG kush,sour diesel,master kush,purple kush, Ak47, Carts,Zero Moon rock and more. Vape Dank Vapor Cartridge. Hybrid. Introducing a unique and healthier way to medicate anywhere and everywhere. Vape dank premium cartridge is a smoke-free, tar-free alternative to traditional cannabis.


Wickr ID?.cleo710
Email: cleofastservice@protonmail.com
",2,1

CARTS,0.76,Cleo710 ,US,worldwide,cannabis,,cartridge,"Hello, are you in search of top quality medical marijuana, tinctures, edibles,Carts, cannabis oil, weed seeds, hash oil, cbd oil and legal weeds?? why not try this out??We are a group of dedicated growers specialized at cultivating and selling just the best marijuana cannabis containing the CBN,CBD and THC ingredients. we are sellers in America, Europe and the World,and sell out our very affordable wide collection of strains not only to regular smokers, but some of our strains are also used as medicine for the treatment of cancer,stress, chronic pain, restore appetite,anxiety, etc. We ship worldwide and offer door to door delivery services. some of our strains in stock include; white widow,OG kush,sour diesel,master kush,purple kush, Ak47, Carts,Zero Moon rock and more. Vape Dank Vapor Cartridge. Hybrid. Introducing a unique and healthier way to medicate anywhere and everywhere. Vape dank premium cartridge is a smoke-free, tar-free alternative to traditional cannabis.


Wickr ID... cleo710
Email: cleofastservice@protonmail.com",0,0

| x20 | .5 mL (.5g) High-Quality Vape Cartridges,1,chris023 ,US,worldwide,cannabis,,cartridge,".5 mL (.5g) Authentic C-Cell Vape Cartridges made from Shatter Concentrate

They pack a great punch compared to other carts!

Flavors:
~ Purple Peach Trainwreck Crumble (PPTC)
~ Brightfire & Electric Strawberry
~ Banjo & PPTC

Download wickr and add my username: chris023
Or Contact me on
Email:.........chris@prontonmail.com

Price:  $  1.0    ( 0.000109 Bitcoins ) ",0,0

Quality Carts,2,droomontana79 ,US,not specified,cannabis,,cartridge,"Dank vapes carts full grams available
top amazing powerful flavors, testing up to 96 percent THC. it can satisfy even most veterans.
got INDICA. SATIVA. HYBRID.TOP FLAVORS AVAILABLE


Wickr:droomontana79
Text/call :+12402843706
Email:droomontana79@gmail.com",0,0

dank vape,3.4,Thomastruth ,US,worldwide,cannabis,,cartridge,"ank vape - grade A - medicinal - for more info contact me at:
wickr me: daplug010
tellegram: daplug010
text or call:+12817839236
",0,0

Honey Vape OG Kush (Full escrow),8.25,worldwide ,US,worldwide,synthetic cannabis,yes,eliquid,"OG Kush by HONEY? is an excellent vape oil for relief from a wide variety of users. Characteristic anticipated effects include relief from occasional nausea and an increase in appetite. WHATSAPP:.....+1909620123 Email:........buyweedw@gmail.com

",0,0

vape carts,8.77,druglords ,US,worldwide,cannabis,,cartridge,"we have top quality and original vape carts,weed(indica,sativa,hybrid),hash,dads,live resin,shatter,wax,oil,pet meds,CBD products,edibles,gummies,concentrates and more you can order from us here or visit from our shop online https://supermarijuanastore.com order from us securely with or without a marijuana card visit our website and talk with a live agent. we ship and deliver discreetly world wide.shipping is done over night and all our packages are vacuum packed with sliver paper making sure its 100% safe and we also provide package tracking number once shipping is done so that clients can track their packages online till its delivered to them.
OUR CONTACT DETAILS BELOW

whatsapp: +1(703)596 3920
wickr: druglords2098",1,1

1G NY SOUR DIESEL - Mario Kart Vape Pens,10,CheebaChews ,US,worldwide,cannabis,,vape pen,"83-87% CALI SHATTER PENS DO NOT MISS OUT

wick..r..iwillmarry420",0,0

DANK VAPES - $10,10,LAcartel ,US,worldwide,cannabis,,cartridge,"Shipping is done Via DHL TNT FedEx Delta .
3-4 days Express shipping
Tracking number provided
Please Do Include Your Contact info
Wickr ?.. LAcartell
USA - txt (443) 478-3204",0,0

1G NY SOUR DIESEL - Mario Kart Vape Pens,10,CheebaChews ,US,worldwide,cannabis,,vape pen,"83-87% CALI SHATTER PENS DO NOT MISS OUT

wick..r..iwillmarry420

Price:  $  10.0    ( 0.001035 Bitcoins )

S & H: 

    Standard Shipping
    $  40.0    ( 0.004142 Bitcoins )
    International Shipping
    $  60.0    ( 0.006213 Bitcoins )",1,1

Dank Carts,11.39,Cleo710 ,US,worldwide,cannabis,,cartridge,"Hello, are you in search of top quality medical marijuana, tinctures, edibles,Carts, cannabis oil, weed seeds, hash oil, cbd oil and legal weeds?? why not try this out??We are a group of dedicated growers specialized at cultivating and selling just the best marijuana cannabis containing the CBN,CBD and THC ingredients. we are sellers in America, Europe and the World,and sell out our very affordable wide collection of strains not only to regular smokers, but some of our strains are also used as medicine for the treatment of cancer,stress, chronic pain, restore appetite,anxiety, etc. We ship worldwide and offer door to door delivery services. some of our strains in stock include; white widow,OG kush,sour diesel,master kush,purple kush, Ak47, Carts,Zero Moon rock and more. Vape Dank Vapor Cartridge. Hybrid. Introducing a unique and healthier way to medicate anywhere and everywhere. Vape dank premium cartridge is a smoke-free, tar-free alternative to traditional cannabis.


Wickr ID.. cleo710
Email: cleofastservice@protonmail.com",0,0

24K GOLD 1g,12.83,kandykones ,UK,UK,synthetic cannabis,yes,other,"Also known as Kosher Tangie, 24k Gold is a 60% indica-dominant hybrid that combines the legendary LA strain Kosher Kush with champion sativa Tangie to create something quite unique. Growing tall in its vegetative cycle and very stretchy in flower, this one will need an experienced hand when grown indoors. Most phenotypes will exhibit a sweet orange aroma from the Tangie along with the dark coloration of the Kosher Kush, and will offer a strong citrus flavor when smoked or vaped. THC levels range from 18% to 24%; definitely not for novice users!

Please read our terms and conditions before ordering.",1,1

KINGPEN SUPREME ROVE JUUL DANK SMART RAW THC CARTS,14.93,Marinate ,US,worldwide,cannabis,,multiple,"KINGPEN|SUPREME|ROVE|JUUL|DANK|SMART|RAW THC CARTS AVAILABLE

Please to specify the flavors when you place an order, You should talk to us on wickr for terms and conditions too before placing order...... (wickr.... marinatelabs)
email: marinatechemlabs@gmail.com kik id : marinatelabs

For a limited time, we?re offering 1.1Gram Cartridges at a discounted price. Our oil cartridges are made with PREMIUM concentrates unlike 90% of the clones on the market nowadays. The oil is made in our own state-of-the-art manufacturing lab. It is distilled 5 times producing a high-quality product that passes strict qualitative and quantitative tests. We then add proprietary blends of terpenes to achieve the best flavor possible. No PG, VG, PEG or other additives.

Below are the available Brands.

We got
ROVE
Dankvapes
Exotic
Mario
Supreme
King pens
RAW
Juul pods
Stiizy
Brass knuckles
HeavyHitters and many more...
Please specify the flavors when you place an order, otherwise we will ship you a flavor of our choice.

IMPORTANT: Due to high demands, the flavors you requested may be out of stock. We will substitute same type of strain (Indica, Sativa or Hybrid) if the flavors you requested are out of stock.

Shipping is from the US. Within the US is 24hours and outside using is 3 days. We give you a tracking number.
SHIPPING: Stealth Package - Vacuum sealed thick plastic - Return address. - Express Delivery with tracking
For all inquiries and orders, pls contact us via

marinatechemlabs@gmail.com
wickr ID : marinatelabs
kik id : marinatelabs

Price:  $  27.86    ( 0.003 Bitcoins ) ",0,0

KINGPEN SUPREME ROVE JUUL DANK SMART RAW THC CARTS,14.93,Marinate ,US,worldwide,cannabis,,multiple,"KINGPEN|SUPREME|ROVE|JUUL|DANK|SMART|RAW THC CARTS AVAILABLE

Please to specify the flavors when you place an order, You should talk to us on wickr for terms and conditions too before placing order...... (wickr.... marinatelabs)
email: marinatechemlabs@gmail.com kik id : marinatelabs

For a limited time, we?re offering 1.1Gram Cartridges at a discounted price. Our oil cartridges are made with PREMIUM concentrates unlike 90% of the clones on the market nowadays. The oil is made in our own state-of-the-art manufacturing lab. It is distilled 5 times producing a high-quality product that passes strict qualitative and quantitative tests. We then add proprietary blends of terpenes to achieve the best flavor possible. No PG, VG, PEG or other additives.

Below are the available Brands.

We got
ROVE
Dankvapes
Exotic
Mario
Supreme
King pens
RAW
Juul pods
Stiizy
Brass knuckles
HeavyHitters and many more...
Please specify the flavors when you place an order, otherwise we will ship you a flavor of our choice.

IMPORTANT: Due to high demands, the flavors you requested may be out of stock. We will substitute same type of strain (Indica, Sativa or Hybrid) if the flavors you requested are out of stock.

Shipping is from the US. Within the US is 24hours and outside using is 3 days. We give you a tracking number.
SHIPPING: Stealth Package - Vacuum sealed thick plastic - Return address. - Express Delivery with tracking
For all inquiries and orders, pls contact us via

marinatechemlabs@gmail.com
wickr ID : marinatelabs
kik id : marinatelabs

Price:  $  18.33    ( 0.002 Bitcoins ) ",0,0

KINGPEN SUPREME ROVE JUUL DANK SMART RAW THC CARTS,14.93,Marinate ,US,worldwide,cannabis,,multiple,"KINGPEN|SUPREME|ROVE|JUUL|DANK|SMART|RAW THC CARTS AVAILABLE

Please to specify the flavors when you place an order, You should talk to us on wickr for terms and conditions too before placing order...... (wickr.... marinatelabs)
email: marinatechemlabs@gmail.com kik id : marinatelabs

For a limited time, we?re offering 1.1Gram Cartridges at a discounted price. Our oil cartridges are made with PREMIUM concentrates unlike 90% of the clones on the market nowadays. The oil is made in our own state-of-the-art manufacturing lab. It is distilled 5 times producing a high-quality product that passes strict qualitative and quantitative tests. We then add proprietary blends of terpenes to achieve the best flavor possible. No PG, VG, PEG or other additives.

Below are the available Brands.

We got
ROVE
Dankvapes
Exotic
Mario
Supreme
King pens
RAW
Juul pods
Stiizy
Brass knuckles
HeavyHitters and many more...
Please specify the flavors when you place an order, otherwise we will ship you a flavor of our choice.

IMPORTANT: Due to high demands, the flavors you requested may be out of stock. We will substitute same type of strain (Indica, Sativa or Hybrid) if the flavors you requested are out of stock.

Shipping is from the US. Within the US is 24hours and outside using is 3 days. We give you a tracking number.
SHIPPING: Stealth Package - Vacuum sealed thick plastic - Return address. - Express Delivery with tracking
For all inquiries and orders, pls contact us via

marinatechemlabs@gmail.com
wickr ID : marinatelabs
kik id : marinatelabs

Price:  $  18.33    ( 0.002 Bitcoins ) ",0,0

KINGPEN SUPREME ROVE JUUL DANK SMART RAW THC CARTS,14.93,Marinate ,US,worldwide,cannabis,,multiple,"KINGPEN|SUPREME|ROVE|JUUL|DANK|SMART|RAW THC CARTS AVAILABLE

Please to specify the flavors when you place an order, You should talk to us on wickr for terms and conditions too before placing order...... (wickr.... marinatelabs)
email: marinatechemlabs@gmail.com kik id : marinatelabs

For a limited time, we?re offering 1.1Gram Cartridges at a discounted price. Our oil cartridges are made with PREMIUM concentrates unlike 90% of the clones on the market nowadays. The oil is made in our own state-of-the-art manufacturing lab. It is distilled 5 times producing a high-quality product that passes strict qualitative and quantitative tests. We then add proprietary blends of terpenes to achieve the best flavor possible. No PG, VG, PEG or other additives.

Below are the available Brands.

We got
ROVE
Dankvapes
Exotic
Mario
Supreme
King pens
RAW
Juul pods
Stiizy
Brass knuckles
HeavyHitters and many more...
Please specify the flavors when you place an order, otherwise we will ship you a flavor of our choice.

IMPORTANT: Due to high demands, the flavors you requested may be out of stock. We will substitute same type of strain (Indica, Sativa or Hybrid) if the flavors you requested are out of stock.

Shipping is from the US. Within the US is 24hours and outside using is 3 days. We give you a tracking number.
SHIPPING: Stealth Package - Vacuum sealed thick plastic - Return address. - Express Delivery with tracking
For all inquiries and orders, pls contact us via

marinatechemlabs@gmail.com
wickr ID : marinatelabs
kik id : marinatelabs

Price:  $  18.33    ( 0.002 Bitcoins ) ",0,0

KINGPEN SUPREME ROVE JUUL DANK SMART RAW THC CARTS,14.93,Marinate ,US,worldwide,cannabis,,multiple,"KINGPEN|SUPREME|ROVE|JUUL|DANK|SMART|RAW THC CARTS AVAILABLE

Please to specify the flavors when you place an order, You should talk to us on wickr for terms and conditions too before placing order...... (wickr.... marinatelabs)
email: marinatechemlabs@gmail.com kik id : marinatelabs

For a limited time, we?re offering 1.1Gram Cartridges at a discounted price. Our oil cartridges are made with PREMIUM concentrates unlike 90% of the clones on the market nowadays. The oil is made in our own state-of-the-art manufacturing lab. It is distilled 5 times producing a high-quality product that passes strict qualitative and quantitative tests. We then add proprietary blends of terpenes to achieve the best flavor possible. No PG, VG, PEG or other additives.

Below are the available Brands.

We got
ROVE
Dankvapes
Exotic
Mario
Supreme
King pens
RAW
Juul pods
Stiizy
Brass knuckles
HeavyHitters and many more...
Please specify the flavors when you place an order, otherwise we will ship you a flavor of our choice.

IMPORTANT: Due to high demands, the flavors you requested may be out of stock. We will substitute same type of strain (Indica, Sativa or Hybrid) if the flavors you requested are out of stock.

Shipping is from the US. Within the US is 24hours and outside using is 3 days. We give you a tracking number.
SHIPPING: Stealth Package - Vacuum sealed thick plastic - Return address. - Express Delivery with tracking
For all inquiries and orders, pls contact us via

marinatechemlabs@gmail.com
wickr ID : marinatelabs
kik id : marinatelabs

Price:  $  18.33    ( 0.002 Bitcoins ) ",0,0

KINGPEN SUPREME ROVE JUUL DANK SMART RAW THC CARTS,14.93,Marinate ,US,worldwide,cannabis,,multiple,"KINGPEN|SUPREME|ROVE|JUUL|DANK|SMART|RAW THC CARTS AVAILABLE

Please to specify the flavors when you place an order, You should talk to us on wickr for terms and conditions too before placing order...... (wickr.... marinatelabs)
email: marinatechemlabs@gmail.com kik id : marinatelabs

For a limited time, we?re offering 1.1Gram Cartridges at a discounted price. Our oil cartridges are made with PREMIUM concentrates unlike 90% of the clones on the market nowadays. The oil is made in our own state-of-the-art manufacturing lab. It is distilled 5 times producing a high-quality product that passes strict qualitative and quantitative tests. We then add proprietary blends of terpenes to achieve the best flavor possible. No PG, VG, PEG or other additives.

Below are the available Brands.

We got
ROVE
Dankvapes
Exotic
Mario
Supreme
King pens
RAW
Juul pods
Stiizy
Brass knuckles
HeavyHitters and many more...
Please specify the flavors when you place an order, otherwise we will ship you a flavor of our choice.

IMPORTANT: Due to high demands, the flavors you requested may be out of stock. We will substitute same type of strain (Indica, Sativa or Hybrid) if the flavors you requested are out of stock.

Shipping is from the US. Within the US is 24hours and outside using is 3 days. We give you a tracking number.
SHIPPING: Stealth Package - Vacuum sealed thick plastic - Return address. - Express Delivery with tracking
For all inquiries and orders, pls contact us via

marinatechemlabs@gmail.com
wickr ID : marinatelabs
kik id : marinatelabs

Price:  $  18.33    ( 0.002 Bitcoins ) ",0,0

KINGPEN SUPREME ROVE JUUL DANK SMART RAW THC CARTS,14.93,Marinate ,US,worldwide,cannabis,,multiple,"KINGPEN|SUPREME|ROVE|JUUL|DANK|SMART|RAW THC CARTS AVAILABLE

Please to specify the flavors when you place an order, You should talk to us on wickr for terms and conditions too before placing order...... (wickr.... marinatelabs)
email: marinatechemlabs@gmail.com kik id : marinatelabs

For a limited time, we?re offering 1.1Gram Cartridges at a discounted price. Our oil cartridges are made with PREMIUM concentrates unlike 90% of the clones on the market nowadays. The oil is made in our own state-of-the-art manufacturing lab. It is distilled 5 times producing a high-quality product that passes strict qualitative and quantitative tests. We then add proprietary blends of terpenes to achieve the best flavor possible. No PG, VG, PEG or other additives.

Below are the available Brands.

We got
ROVE
Dankvapes
Exotic
Mario
Supreme
King pens
RAW
Juul pods
Stiizy
Brass knuckles
HeavyHitters and many more...
Please specify the flavors when you place an order, otherwise we will ship you a flavor of our choice.

IMPORTANT: Due to high demands, the flavors you requested may be out of stock. We will substitute same type of strain (Indica, Sativa or Hybrid) if the flavors you requested are out of stock.

Shipping is from the US. Within the US is 24hours and outside using is 3 days. We give you a tracking number.
SHIPPING: Stealth Package - Vacuum sealed thick plastic - Return address. - Express Delivery with tracking
For all inquiries and orders, pls contact us via

marinatechemlabs@gmail.com
wickr ID : marinatelabs
kik id : marinatelabs

Price:  $  18.33    ( 0.002 Bitcoins ) ",0,0

KINGPEN SUPREME ROVE JUUL DANK SMART RAW THC CARTS,14.93,Marinate ,US,worldwide,cannabis,,multiple,"KINGPEN|SUPREME|ROVE|JUUL|DANK|SMART|RAW THC CARTS AVAILABLE

Please to specify the flavors when you place an order, You should talk to us on wickr for terms and conditions too before placing order...... (wickr.... marinatelabs)
email: marinatechemlabs@gmail.com kik id : marinatelabs

For a limited time, we?re offering 1.1Gram Cartridges at a discounted price. Our oil cartridges are made with PREMIUM concentrates unlike 90% of the clones on the market nowadays. The oil is made in our own state-of-the-art manufacturing lab. It is distilled 5 times producing a high-quality product that passes strict qualitative and quantitative tests. We then add proprietary blends of terpenes to achieve the best flavor possible. No PG, VG, PEG or other additives.

Below are the available Brands.

We got
ROVE
Dankvapes
Exotic
Mario
Supreme
King pens
RAW
Juul pods
Stiizy
Brass knuckles
HeavyHitters and many more...
Please specify the flavors when you place an order, otherwise we will ship you a flavor of our choice.

IMPORTANT: Due to high demands, the flavors you requested may be out of stock. We will substitute same type of strain (Indica, Sativa or Hybrid) if the flavors you requested are out of stock.

Shipping is from the US. Within the US is 24hours and outside using is 3 days. We give you a tracking number.
SHIPPING: Stealth Package - Vacuum sealed thick plastic - Return address. - Express Delivery with tracking
For all inquiries and orders, pls contact us via

marinatechemlabs@gmail.com
wickr ID : marinatelabs
kik id : marinatelabs

Price:  $  18.33    ( 0.002 Bitcoins ) ",0,0

KINGPEN SUPREME ROVE JUUL DANK SMART RAW THC CARTS,14.93,Marinate ,US,worldwide,cannabis,,multiple,"KINGPEN|SUPREME|ROVE|JUUL|DANK|SMART|RAW THC CARTS AVAILABLE

Please to specify the flavors when you place an order, You should talk to us on wickr for terms and conditions too before placing order...... (wickr.... marinatelabs)
email: marinatechemlabs@gmail.com kik id : marinatelabs

For a limited time, we?re offering 1.1Gram Cartridges at a discounted price. Our oil cartridges are made with PREMIUM concentrates unlike 90% of the clones on the market nowadays. The oil is made in our own state-of-the-art manufacturing lab. It is distilled 5 times producing a high-quality product that passes strict qualitative and quantitative tests. We then add proprietary blends of terpenes to achieve the best flavor possible. No PG, VG, PEG or other additives.

Below are the available Brands.

We got
ROVE
Dankvapes
Exotic
Mario
Supreme
King pens
RAW
Juul pods
Stiizy
Brass knuckles
HeavyHitters and many more...
Please specify the flavors when you place an order, otherwise we will ship you a flavor of our choice.

IMPORTANT: Due to high demands, the flavors you requested may be out of stock. We will substitute same type of strain (Indica, Sativa or Hybrid) if the flavors you requested are out of stock.

Shipping is from the US. Within the US is 24hours and outside using is 3 days. We give you a tracking number.
SHIPPING: Stealth Package - Vacuum sealed thick plastic - Return address. - Express Delivery with tracking
For all inquiries and orders, pls contact us via

marinatechemlabs@gmail.com
wickr ID : marinatelabs
kik id : marinatelabs

Price:  $  18.33    ( 0.002 Bitcoins ) ",0,0

KINGPEN SUPREME ROVE JUUL DANK SMART RAW THC CARTS,14.93,Marinate ,US,worldwide,cannabis,,multiple,"KINGPEN|SUPREME|ROVE|JUUL|DANK|SMART|RAW THC CARTS AVAILABLE

Please to specify the flavors when you place an order, You should talk to us on wickr for terms and conditions too before placing order...... (wickr.... marinatelabs)
email: marinatechemlabs@gmail.com kik id : marinatelabs

For a limited time, we?re offering 1.1Gram Cartridges at a discounted price. Our oil cartridges are made with PREMIUM concentrates unlike 90% of the clones on the market nowadays. The oil is made in our own state-of-the-art manufacturing lab. It is distilled 5 times producing a high-quality product that passes strict qualitative and quantitative tests. We then add proprietary blends of terpenes to achieve the best flavor possible. No PG, VG, PEG or other additives.

Below are the available Brands.

We got
ROVE
Dankvapes
Exotic
Mario
Supreme
King pens
RAW
Juul pods
Stiizy
Brass knuckles
HeavyHitters and many more...
Please specify the flavors when you place an order, otherwise we will ship you a flavor of our choice.

IMPORTANT: Due to high demands, the flavors you requested may be out of stock. We will substitute same type of strain (Indica, Sativa or Hybrid) if the flavors you requested are out of stock.

Shipping is from the US. Within the US is 24hours and outside using is 3 days. We give you a tracking number.
SHIPPING: Stealth Package - Vacuum sealed thick plastic - Return address. - Express Delivery with tracking
For all inquiries and orders, pls contact us via

marinatechemlabs@gmail.com
wickr ID : marinatelabs
kik id : marinatelabs

Price:  $  18.33    ( 0.002 Bitcoins ) ",0,0
