listing,vendor,original_category,type of product,drug detail,escrow,vendor rating,vendor membership,origin,destination,price_in_usd,quantity,description
NOTE: In Summer 2018, BK switched packaging to include counterfeit proof methods including serialized packages; we negotiated with our friends at BK to purchase a large quantity of pre-serialized units. The product is the same high quality 3rd gen pen, just in Spring 2018 packaging. Once this batch is sold out, we will discontinue selling BK pens (and all branded pens). Feel free to inquire for more info!

BATTERY NOT INCLUDED, standard 510 thread! Check out the matching Brass Knuckles fixed wattage batteries in our store, woodgrain or brass for $25! [sold out as of Jan 1 2019]
"

.5 Gram Premium Clear Oil,CartKing,concentrate,cartridge,cannabis,ESCROW BULK DISCOUNTS,0.995, 2019-04-20,US,US,40,1g,"NO PG/VG/HONEY CUT/ TOCOPHERYL ACETATE PURE DISTILLATE

HALF Gram Premium C-Cell Vape Carts made with beautiful potent hash oil Very Potent and strong. These will be GREAT for resale or personal use
"

CLEARLYTHEBESTS' DISTILLATE - RAW (1/4oz),CTB ,concentrate,concentrate,cannabis,ESCROW,0.997, 2019-06-21,US,US,120,.25oz,"This is the distillate you know and love from our WSM AND DREAM days.

This is pure, raw distillate, testing at a healthy 95-97% THC.

No cutting agents whatsoever, especially that Vitamin E shit thatês going around.

What youêre receiving is distillate in itês rawest form.

These are great for filling your own cartridges which as of now is the safest way to vape with all the bullshit carts out there killing people nowadays.

You are safe ordering our own CTB Signature Line of carts but if you want full control over what you vape, this is the option for you.
"

CLEARLYTHEBESTS' TERPED DISTILLATE - LOUIS XIII (1/4oz),CTB ,concentrate,concentrate,cannabis,ESCROW BULK DISCOUNTS,0.997, 2019-06-21,US,US,140,.25oz,"This is the distillate you know and love from our WSM AND DREAM days.

This is pure, raw distillate with natural, cannabis derived terpenes.

No cutting agents whatsoever, especially that Vitamin E shit thatês going around.

These are great for filling your own cartridges which as of now is the safest way to vape with all the bullshit carts out there killing people nowadays.

You are safe ordering our own CTB Signature Line of carts but if you want full control over what you vape, this is the option for you.
"

Colorado Concentrates Wax,MarleysMainMan,concentrate,concentrate,cannabis,FE Required BULK DISCOUNTS,0.976, 2019-04-02,US,worldwide,25,1g,"A sister company of Wana Edibles Colorado Concentrates was founded in 2010 and focuses on budder (wax), shatter, honey comb, live resin and syringes full of vape oil for medical and recreational centers. Colorado Concentrates doesnêt just offer quality they process in all types of styles besides budder and shatter such as flakey and moon rocks.

-MMM"

Best Price West Coast Cure CurePen,CartKing,concentrate,vape pen,cannabis,ESCROW BULK DISCOUNTS,0.995, 2019-04-20,US,US,40,1g,"NO PG/VG/HONEY CUT/ TOCOPHERYL ACETATE PURE DISTILLATE

Thereês no question; West Coast Cure is the first name in high-end wax products.

West Coast Cure brings years of connoisseur cannabis mastery to the table, effortlessly offering consumers the best in wax and other medical marijuana experience. With an award-winning pedigree and that extra something special, West Coast Cure is the go-to cannabis label for celebrities and connoisseurs alike. Itês not something West Coast Cure works at; theyêre simply the best at what they do.

To back this statement, We back our products with a 100% satisfaction guarantee.We offer a rare no hassle exchange policy to all of our vendors and their patients. We believe in our product and want to prove that to you.

West Coast Cure began in the same way many great companies do: a passion for a product that grew into something more. In Newport Beach back in 2010, the founding team could not find a satisfactory wax product on the market that met their high standards of quality. Dissatisfied, they invested their time, resources, and expert cannabis knowledge to create the high-end wax for themselves and others with the same expectation of excellence. In their five years since embarking on their mission as one of the first extract companies around, West Coast Cure has become a household name in the wax industry. Theyêve now grown into an iconic Marijuana Brand, expanding into vapes and pre-rolled joints to highlight their product in other fashions. When they see West Coast Cureês crown logo, consumers know theyêre laying eyes on the best in the business.

Each product created by West Coast Cure is crafted with excellence cultivated after years of experience in the concentrate field. –Extracts” is West Coast Cureês middle name, and they proudly offer a selection of high-end concentrates, shatters, budder, vape shatter cartridges and much more. Their products are often featured in celebrity media, and their Hardcore Shatter delivers an instantaneous and passionate high with a single dab. Whether from their award-winning Bhombline or more adventurous Red and Black Labels, West Coast Cure is the first (and only) choice in concentrates.

Consistent with their enduring commitment to quality, West Coast Cure sends all their products to SC Labs for comprehensive testing, including cannabinoid profile, terpene profile, pesticides, microbes and more. Lovers of West Coast Cure rest assured that theyêre dabbing the purest concentrates on the market.

West Coast Cure is proud to distribute their product lines in dispensaries up and down the state of California. Consumers in Bakersfield, the High Desert cities of Victorville, Barstow, and Hesperia, Riverside County and throughout the state can get their hands on West Coast Cure goods. Sign up for their email list to receive a comprehensive directory of California dispensaries carrying their products.
"

LUX PURE one gram THC distillate vape cartridge,luxlife,concentrate,cartridge,cannabis,ESCROW BULK DISCOUNTS,1, 2018-10-11,US,US,29,cart,"Check `my feedback, it speaks for itself! –THE CONNOISSEURS CHOICE”

The strains we have available are listed below. Specify the strains youêd like in the order notes _ mix and match is just fine! You can say stuff like •no indicaê or •mostly hybridê and I will put together an assortment youêll love! If you donêt specify, Iêll send you a nice representative selection.

Indica:

    Afghan Kush
    Blue Cheese
    Chronic Thunder
    Gorilla Glue #4

Sativa:

    Acapulco Gold
    Alaskan Thunder Fuck
    Chocolate Thai

Hybrid:

    Girl Scout Cookies
    White Fire OG

CBD:

    Magic Potion (500 mg THC, 500 mg CBD)

These are cannabis terpenes designed to create the –entourage effect”. They are NOT yummy candy flavors. They taste like weed. –Strawnana” tastes like the strain of marijuana called –Strawnana”, not like a refreshing fruit smoothie!

SOLVENT FREE, DILUANT FREE _ NO PG, VG, PEG, or MCT! Uncut THC distillate and terps and thatês it.

We use the good multi-pass distillate, none of the –dirty” single pass stuff. Super clean taste and unparalleled high. No pesticides, no heavy metals.

We use the NEW authentic OEM Transpring A3-X cartridges. Five airflow holes at the very BOTTOM of the tank, dual silicone rings for leak resistance, and an improved ceramic heating coil, these carts are awesome! Laser engraved with the LUX logo. These carts never leak.
"

1G Genuine CCell HTFSE Cartridges BOXED,TheStarMan,concentrate,cartridge,cannabis,ESCROW BULK DISCOUNTS,1, 2019-04-20,US,US,25,unit,"These are Genuine C-cellês, We plan on fully moving forward with this cart style and keeping them stocked.

These are Packaged in my new boxes and ready for re-sale.

You will recive one 1G/1ML vape cart filled with whatever profile you choose from my current menu.

(HTE)Maui Wowie

(HTE)Blueberry Kush

(HTE)TrainWreck

All of profiles listed under –HTE are mixed with 75% distillate with 20% HTFSE(High-Terpene Full Spectrum Extract) and 5% additonal terpês to compliment each profile while my distilate profiles are from raw distilate with custom terp profiles.

Because HTFSE is an extraction with a emphasis on terpene preservation these profiles will be in limited quanitity and true to the strain they have been extracted from. (Sorry for all my fruit lovers)

Please list your prefferd strains plus a possible backup and Iêll ship them first come first serve!
"

Amnesia Haze THC Vape 70% THC! A*** - (Inc 1 Pen and 1 Cartidge),pharmatec,weed,vape pen,synthetic cannabinoids,ESCROW,1, 2019-04-21,UK,worldwide,110.19,"1 pen, 1 cartridge","This item includes 1 pen (25 GBP) and 1 Amnesia Haze THC Vape Cartridge (60 GBP)

Smoke on the downlow with our exclusive UK stock of these outstanding Amnesia Haze THC Vape pens. Contains a mind blowing 70% TCH content in each cartridge! You can smoke these discreetly at any social occasion. There is very minimal aroma due to the way the THC has been extracted and implemented into the cartridges. These really are the future! Get one today! Limited stock availability!!

100% organic flower oil concentrate in V9 liberty cartridges.

Battery pen

Fully winterised Triple filtered Double purged

Extracted from premium source Monitored and controlled source to end product High THC >70% ZERO solvents Live resin product - NO DISTILLATE Our product is not diluted down with diluent overload NO PEP, NO PG, NO PP, NO VG! NO chemicals, solvents, pesticides, fungicides Thick dark concentrated oil unlike many of the other distillate variants Infused with quality terpenes to enhance flavour and vapour flow The carts are all 5/10 thread

Pen Description

The battery works great with thick oil cartridges because of the preheating warming function. This fits our Amigo Itsuwa cartridges perfectly.

The real stand out feature on this pen is the convenient preheating function that you can activate with 2 rapid clicks of the button. It will warm your oil cartridge at a low voltage for 15 seconds.

Features:

« 380mAh Battery « Includes USB to Micro-USB Charger Cable « Slim Design « 510 Thread « Variable Voltage (3 rapid clicks) White: 2.7V - Blue: 3.1V - Red: 3.6V « Preheat Warming Feature (2 rapid clicks) « Turn on/off (5 rapid clicks) « Built-in short circuit and overcharging protection
"

Amnesia Haze THC Vape Cartidge 70% THC! A*** - (1 Cartidge),pharmatec,weed,cartridge,synthetic cannabinoids,ESCROW,1, 2019-04-21,UK,worldwide,58.34,cart,"This item includes 1 Amnesia Haze THC Vape Cartridge (45 GBP)

Smoke on the downlow with our exclusive UK stock of these outstanding Amnesia Haze THC Vape pens. Contains a mind blowing 70% TCH content in each cartridge! You can smoke these discreetly at any social occasion. There is very minimal aroma due to the way the THC has been extracted and implemented into the cartridges. These really are the future! Get one today! Limited stock availability!!

100% organic flower oil concentrate in V9 liberty cartridges.

1 Cartirdge should last a moderate smoker 10 days to 2 weeks.

    Fully winterised. Triple filtered. Double purged. Extracted from premium source. Monitored and controlled source to end product. High THC >70%. ZERO solvents. Live resin product - NO DISTILLATE. Our product is not diluted down with diluent overload. NO PEP, NO PG, NO PP, NO VG! NO chemicals, solvents, pesticides, fungicides. Thick dark concentrated oil unlike many of the other distillate variants. Infused with quality terpenes to enhance flavour and vapour flow. The carts are all 5/10 thread.

Pen Description

The battery works great with thick oil cartridges because of the preheating warming function. This fits our Amigo Itsuwa cartridges perfectly.

The real stand out feature on this pen is the convenient preheating function that you can activate with 2 rapid clicks of the button. It will warm your oil cartridge at a low voltage for 15 seconds.

Features:

« 380mAh Battery « Includes USB to Micro-USB Charger Cable « Slim Design « 510 Thread « Variable Voltage (3 rapid clicks) White: 2.7V - Blue: 3.1V - Red: 3.6V « Preheat Warming Feature (2 rapid clicks) « Turn on/off (5 rapid clicks) « Built-in short circuit and overcharging protection
"

0.5 Gram of HQ nn DMT Freebase Crystals (100% Organic),UnrealOrganics,DMT AMT,other,psychedelic,ESCROW,0.995, 2019-04-26,US,US,65,.5g,"Half Gram of HQ nn DMT Freebase Crystals (100% Organic)

In this listing you are buying 1 Grams of this High Quality ORGANIC DMT Crystals (in some cases powder)! (no chemicals used from growing the bush, to the crystals, all process is toxic chemical free)

We have mastered the way of extracting DMT so we dont have to use any toxic chemicals which makes everything easy, and yield to be significant bigger, we enjoy taking it slow. Our process takes about a week or so, as to compare to chemical way which lets you get DMT out of the plant in 1-2 days.

I recommend the following doses when smoking my NN-DMT:

Beginners 20-30mg

Experienced 50mg

Space Cadets 60mg

NN-DMT should be smoked in a vaporiser or a pipe/bong. When smoking with a pipe/bong it is strongly advised to place a layer of cigarette ash onto the gauze before placing the NN-DMT onto the layer of ash. Please note that my batches of NN-DMT vary in colour, ranging from beige to a light shade of brown. This is due to the variables in batches of Mimosa Hostilis bark in addition to the many variables associated with the extraction process. The shade of the final product never influences the potency of the NN-DMT batch.

ã-WIKIã-

N,N-Dimethyltryptamine (DMT or N,N-DMT) is a tryptamine molecule which occurs in many plants and animals.[3] It can be+O14 consumed as a powerful psychedelic drug and has historically been prepared by various cultures for ritual purposes.[4] Rick Strassman labeled it –the spirit molecule”.[5] In most countries, DMT is illegal. DMT has a relatively short duration of action, intense effects and rapid onset. For that reason, DMT was known as the –businessmanês trip” during the 1960s in the United States, as a user could access the full depth of a psychedelic experience in considerably less time than with other substances such as LSD or magic mushrooms.[6] DMT can be inhaled, injected, vaped or orally ingested, and its effects depend on the dose. When inhaled or injected, the effects last a short period of time: about 5 to 15 minutes. Effects can last 3 hours or more when orally ingested along with an MAOI, such as the ayahuasca brew of many native Amazonian tribes.[7] DMT can produce vivid –projections” of mystical experiences involving euphoria and dynamic hallucinations of geometric forms.[8] It is a structural analog of serotonin and melatonin and a functional analog of other psychedelic tryptamines such as 4-AcO-DMT, 5-MeO-DMT, 5-HO-DMT, psilocybin (4-PO-DMT), and psilocin (4-HO-DMT).

_IMPORTANT SHIPPING INFORMATIONã

    PLEASE FINALIZE UPON DELIVERY, IF YOU WAIT FOR YOUR ORDER TO AUTO-FINALIZE YOU WILL BE BLACKLISTED/BANNED ORDERING FROM US!!!

    ALL ORDERS WILL BE SHIPPED WITHIN 24-48 HOURS AFTER BEING MARKED ACCEPTED !!! SO PLEASE BE PATIENT AND STOP ASKING WHERE IS YOUR PACKAGE 2-3 DAYS AFTER YOUR ORDER HAS BEEN MARKED SHIPPED, PRIORITY MAIL USUALLY TAKES 2-4 DAYS IN SOME CASES LONGER DEPEND ON HOW BUSY MAIL POSTS ARE, SO PLACE YOUR ORDERS ACCORDINGLY AND ALLOW AROUND 5-7 DAYS FROM PLACING AN ORDER TO RECEIVING IT.

    DO NOT ASK FOR TRACKING NUMBERS - They will only be given for verification purposes in orders where an issue may have arisen.

    If your package shows as any of the tracking updates below - NO REFUNDS -NO RESHIPS: -Delivered -Left and door/mailbox/porch/to person etc. -Not deliverable as addressed -Return to Sender -Rejected

Any shipping issues or mistakes on our side we will automatically reship. Anything else just ask and we will figure out a solution! Thank You and have a Good Day!
"

"NN-DMT Vape 1ML (1000mg) Cart, New MOST POTENT FORMULA!",UnrealOrganics,DMT AMT,cartridge,psychedelic,ESCROW,0.995, 2019-04-26,US,US,160,piece,"Highest Quality, Most Potent our ORGANIC DMT Vape Carts! (no chemicals used from growing the bush to putting it in the cartridge, all process is chemical free)

We have mastered the way of extracting DMT so we donêt have to use any toxic chemicals which makes everything easy, and yield to be significant bigger, we enjoy taking it slow. Our process takes about a week or so, as to compare to chemical way which lets you get DMT out of the plant in 1-2 days. PLEASE APPRECIATE AND ENJOY!

-Carts are top quality, no leaks, durable, and aesthetically pleasing.

-Carts are 1000mg each!

-These are most potent carts from our arsenal, (newest-most expensive formula) it is double the potency from our regular best selling carts.

-Works well with most any battery, but works best with a battery with variable voltage and on around 3.7v, higher than 4v may risk burning out the coil in which case you can transfer the liquid to a new empty cart). You can buy a battery at your local vape shop for super cheap that works well, but dont get the cheapest one, as they sometimes dont make it hot enough to get a quick breakthrough, so extra hits or battery replacement needed.

If you want to place order for more units than MAX allowed, please place another order, and pick $0 (Additional item) shipping option.

_IMPORTANT SHIPPING INFORMATIONã

    PLEASE FINALIZE UPON DELIVERY, IF YOU WAIT FOR YOUR ORDER TO AUTO-FINALIZE YOU WILL BE BLACKLISTED/BANNED ORDERING FROM US!!!

    ALL ORDERS WILL BE SHIPPED WITHIN 24-48 HOURS AFTER BEING MARKED ACCEPTED !!! SO PLEASE BE PATIENT AND STOP ASKING WHERE IS YOUR PACKAGE 2-3 DAYS AFTER YOUR ORDER HAS BEEN MARKED SHIPPED, PRIORITY MAIL USUALLY TAKES 2-4 DAYS IN SOME CASES LONGER DEPEND ON HOW BUSY MAIL POSTS ARE, SO PLACE YOUR ORDERS ACCORDINGLY AND ALLOW AROUND 5-7 DAYS FROM PLACING AN ORDER TO RECEIVING IT.

    DO NOT ASK FOR TRACKING NUMBERS - They will only be given for verification purposes in orders where an issue may have arisen.

    If your package shows as any of the tracking updates below - NO REFUNDS -NO RESHIPS: -Delivered -Left and door/mailbox/porch/to person etc. -Not deliverable as addressed -Return to Sender -Rejected

Any shipping issues or mistakes on our side we will automatically reship. Anything else just ask and we will figure out a solution!

Thank You and have a Good Day!
"

100 Grams of nn DMT Freebase Crystals (100% ORGANIC-VEGAN) BULK,UnrealOrganics,DMT AMT,other,psychedelic,ESCROW,0.995, 2019-04-26,US,US,6000,100g,"In this listing you are buying 100 Grams of this High Quality ORGANIC DMT Crystals (in some cases powder)! (no chemicals used from growing the bush, to the crystals, all process is toxic chemical free)

We have mastered the way of extracting DMT so we dont have to use any toxic chemicals which makes everything easy, and yield to be significant bigger, we enjoy taking it slow. Our process takes about a week or so, as to compare to chemical way which lets you get DMT out of the plant in 1-2 days.

I recommend the following doses when smoking my NN-DMT:

Beginners 20-30mg

Experienced 50mg

Space Cadets 60mg

NN-DMT should be smoked in a vaporiser or a pipe/bong. When smoking with a pipe/bong it is strongly advised to place a layer of cigarette ash onto the gauze before placing the NN-DMT onto the layer of ash. Please note that my batches of NN-DMT vary in colour, ranging from beige to a light shade of brown. This is due to the variables in batches of Mimosa Hostilis bark in addition to the many variables associated with the extraction process. The shade of the final product never influences the potency of the NN-DMT batch.

ã-WIKIã-

N,N-Dimethyltryptamine (DMT or N,N-DMT) is a tryptamine molecule which occurs in many plants and animals.[3] It can be consumed as a powerful psychedelic drug and has historically been prepared by various cultures for ritual purposes.[4] Rick Strassman labeled it –the spirit molecule”.[5] In most countries, DMT is illegal. DMT has a relatively short duration of action, intense effects and rapid onset. For that reason, DMT was known as the –businessmanês trip” during the 1960s in the United States, as a user could access the full depth of a psychedelic experience in considerably less time than with other substances such as LSD or magic mushrooms.[6] DMT can be inhaled, injected, vaped or orally ingested, and its effects depend on the dose. When inhaled or injected, the effects last a short period of time: about 5 to 15 minutes. Effects can last 3 hours or more when orally ingested along with an MAOI, such as the ayahuasca brew of many native Amazonian tribes.[7] DMT can produce vivid –projections” of mystical experiences involving euphoria and dynamic hallucinations of geometric forms.[8] It is a structural analog of serotonin and melatonin and a functional analog of other psychedelic tryptamines such as 4-AcO-DMT, 5-MeO-DMT, 5-HO-DMT, psilocybin (4-PO-DMT), and psilocin (4-HO-DMT).

_IMPORTANT SHIPPING INFORMATIONã

Before I begin, I want to let you know super important piece of requirements: Please write your real name and your real address in format: JOHN SMITH 123 MAIN STREET CITY, STATE ZIPCODE

    PLEASE FINALIZE UPON DELIVERY, IF YOU WAIT FOR YOUR ORDER TO AUTO-FINALIZE YOU WILL BE BLACKLISTED/BANNED ORDERING FROM US!!!

    ALL ORDERS WILL BE SHIPPED WITHIN 24-48 HOURS AFTER BEING MARKED ACCEPTED !!! SO PLEASE BE PATIENT AND STOP ASKING WHERE IS YOUR PACKAGE 2-3 DAYS AFTER YOUR ORDER HAS BEEN MARKED SHIPPED, PRIORITY MAIL USUALLY TAKES 2-4 DAYS IN SOME CASES LONGER DEPEND ON HOW BUSY MAIL POSTS ARE, SO PLACE YOUR ORDERS ACCORDINGLY AND ALLOW AROUND 5-7 DAYS FROM PLACING AN ORDER TO RECEIVING IT.

    DO NOT ASK FOR TRACKING NUMBERS - They will only be given for verification purposes in orders where an issue may have arisen.

    If your package shows as any of the tracking updates below - NO REFUNDS -NO RESHIPS: -Delivered -Left and door/mailbox/porch/to person etc. -Not deliverable as addressed -Return to Sender -Rejected

Any shipping issues or mistakes on our side we will automatically reship. Anything else just ask and we will figure out a solution! Thank You and have a Good Day!
"

"DMT ROCKET or Any Other Vape Pen, e-juice Refill 1.7ml bottle",UnrealOrganics,DMT AMT,eliquid,psychedelic,ESCROW,0.995, 2019-04-26,US,US,170,bottle,"DMT ROCKET or any other vape pen refill juice. 1g of ultra clean ORGANIC DMT suspended in 1ml of Organic-Kosher e-liquid = 1.7ml Total. You will receive 1 bottle like in the picture.

ProTip: To empty bottle better, warm it up very well before opening.

Anybody who previously purchased from me a DMT ROCKET, get to buy this juice with FREE SHIPPING. please write me your order number of DMT ROCKET, if you chose a free shipping option.

_IMPORTANT SHIPPING INFORMATIONã

    PLEASE FINALIZE UPON DELIVERY, IF YOU WAIT FOR YOUR ORDER TO AUTO-FINALIZE YOU WILL BE BLACKLISTED/BANNED ORDERING FROM US!!!

    ALL ORDERS WILL BE SHIPPED WITHIN 24-48 HOURS AFTER BEING MARKED ACCEPTED !!! SO PLEASE BE PATIENT AND STOP ASKING WHERE IS YOUR PACKAGE 2-3 DAYS AFTER YOUR ORDER HAS BEEN MARKED SHIPPED, PRIORITY MAIL USUALLY TAKES 2-4 DAYS IN SOME CASES LONGER DEPEND ON HOW BUSY MAIL POSTS ARE, SO PLACE YOUR ORDERS ACCORDINGLY AND ALLOW AROUND 5-7 DAYS FROM PLACING AN ORDER TO RECEIVING IT.

    DO NOT ASK FOR TRACKING NUMBERS - They will only be given for verification purposes in orders where an issue may have arisen.

    If your package shows as any of the tracking updates below - NO REFUNDS -NO RESHIPS: -Delivered -Left and door/mailbox/porch/to person etc. -Not deliverable as addressed -Return to Sender -Rejected

Any shipping issues or mistakes on our side we will automatically reship. Anything else just ask and we will figure out a solution!

Thank You and have a Good Day!
"

"DMT Vape Pen e-juice Refill 10ml bottle, Squeeze bottle, quick s",UnrealOrganics,DMT AMT,eliquid,psychedelic,ESCROW,0.995, 2019-04-26,US,US,600,bottle,"SAFE VAPE: WE DONêT USE VITAMIN E, ANY THICKENERS, CUTTING AGENTS OR OTHER INGREDIENTS CAUSING LUNG SICKNESS. WE ONLY USE NATURAL, OVERTIME PROVEN INGREDIENTS.

Vape pen refill juice. 10ml DMT Juice, Organic-Kosher e-liquid

ProTip: To empty bottle better, warm it up very well before opening.

Anybody who previously purchased from me a DMT ROCKET, get to buy this juice with FREE SHIPPING. please write me your order number of DMT ROCKET, if you chose a free shipping option.

_IMPORTANT SHIPPING INFORMATIONã

Before I begin, I want to let you know super important piece of requirements: Please write your real name and your real address in format: JOHN SMITH 123 MAIN STREET CITY, STATE ZIPCODE

    PLEASE FINALIZE UPON DELIVERY, IF YOU WAIT FOR YOUR ORDER TO AUTO-FINALIZE YOU WILL BE BLACKLISTED/BANNED ORDERING FROM US!!!

    ALL ORDERS WILL BE SHIPPED WITHIN 24-48 HOURS AFTER BEING MARKED ACCEPTED !!! SO PLEASE BE PATIENT AND STOP ASKING WHERE IS YOUR PACKAGE 2-3 DAYS AFTER YOUR ORDER HAS BEEN MARKED SHIPPED, PRIORITY MAIL USUALLY TAKES 2-4 DAYS IN SOME CASES LONGER DEPEND ON HOW BUSY MAIL POSTS ARE, SO PLACE YOUR ORDERS ACCORDINGLY AND ALLOW AROUND 5-7 DAYS FROM PLACING AN ORDER TO RECEIVING IT.

    DO NOT ASK FOR TRACKING NUMBERS - They will only be given for verification purposes in orders where an issue may have arisen.

    If your package shows as any of the tracking updates below - NO REFUNDS -NO RESHIPS: -Delivered -Left and door/mailbox/porch/to person etc. -Not deliverable as addressed -Return to Sender -Rejected

Any shipping issues or mistakes on our side we will automatically reship. Anything else just ask and we will figure out a solution!

Thank You and have a Good Day!
"

Amnesia Haze THC Vape Pen A*** - PEN ONLY (Exclusive UK Stock!!),pharmatec,weed,vape pen,synthetic cannabinoids,ESCROW,1, 2019-04-21,UK,worldwide,25.92,pen,"This item is sold as PEN ONLY to be used with our TCH Vape Cartridges.

The battery works great with thick oil cartridges because of the preheating warming function. This fits our Amigo Itsuwa cartridges perfectly.

The real stand out feature on this pen is the convenient preheating function that you can activate with 2 rapid clicks of the button. It will warm your oil cartridge at a low voltage for 15 seconds.

Features:

« 380mAh Battery « Includes USB to Micro-USB Charger Cable « Slim Design « 510 Thread « Variable Voltage (3 rapid clicks) White: 2.7V - Blue: 3.1V - Red: 3.6V « Preheat Warming Feature (2 rapid clicks) « Turn on/off (5 rapid clicks) « Built-in short circuit and overcharging protection
"

?CLEAR CHRONIC? AUTHENTIC FULL GRAM VAPE CARTS 90% THC,DigitalDispensary  ,concentrate,cartridge,cannabis,ESCROW BULK DISCOUNTS,0.988, 2019-04-26,US,US,26.95,1g,"Welcome and thank you for choosing DIGITAL DISPENSARY!

These are 100% authentic distillate cartridges from Clear Chronic (Northern California). Clear Chronic prides themselves on delivering super high end quad filtered distillate cartridges. Their carts are strain specific and distilled for potency with a large selection of flavors. The oil in these cartridges are pure and uncut (no PG, VG, PEG or other additives) with metal wide mouth tip and dual ceramic burner hardware, containing THC ranging from 83 - 90%. The only thing reintroduced in the soleventless oil is the addition of all natural terpenes for strain profile and flavor.

Please check out our store and our other products. We will be adding more products soon!! We have the fastest ship time and the best stealth on the Dark Net!! Look at our reviews they are all 5 star!!!

Californiaês Finest!

Sativa: (AK-47, Banana Train Wreck, Blue Dream, Blueberry Muffin, Jack Herer, Orange Cream, Pina Colada, Pineapple Express, Sour Diesel, Sour Tangie, Sour Zkittles, Strawberry Cough, Strawberry Lemonade, Watermelon)

Indica: (Birthday Cake, Dosido, Girl Scout Cookies, Grand Daddy Purp, Headband, OG Kush, Purple Rhino, Sunset Sherbet)

Hybrid: (Gorilla Glue 4, Lemon Tree, Gelato, Cherry Pie)

*Strains will be given randomly at vendors discretion, though we do our best to give you a balanced variety of what we have in stock.

Please also send us your public PGP and email address for contact incase of market crash, exit scam, LE takeover or deal alerts.

« Please confirm the package –Delivered” as soon as it arrives. If you are happy with our products and service please leave us a 5 star rating. Do contact us FIRST to resolve any issues before leaving a review. Customer satisfaction is very important to us.

Thank You!
"

1g TANGIE / BHO SHATTER #CALI #MANARINE,CannabisFreund,concentrate,concentrate,cannabis,ESCROW,1, 2019-04-22,germany,europe,66.89,1g,"??????BUTANHONEYOIL/SHATTER/<80%THC??????

??Full Spectrum Butan Honey Oil ??Sativa/Indika Hybrid ??ôber 80% THC ??aus Tangie Blôten ??riecht und schmeckt enorm nach Mandarine ??medizinisches Cannabis ??wirkt energetisierend, euphorisch ??f_rdert die Kreativit_t, focussierend ??lindert Angstzust_nde, gegen Despression, Stress und Schmerz

